epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0841,3.61597,4.65352,4.11751,0.00423,0.01097,0.0023,0.00056,3.46765,3.95676,3.86077,0.0702459,0.00330601,0.00330601
2,70.3669,3.29626,3.91133,3.48617,0.59844,0.05815,0.04214,0.01366,2.93207,3.31452,3.19019,0.040224,0.00661743,0.00661743
3,105.015,2.90637,3.30487,2.93553,0.10637,0.13684,0.05151,0.0147,2.78077,3.41208,2.93368,0.0101801,0.00990686,0.00990686
4,140.822,2.54546,2.81818,2.54828,0.05951,0.20613,0.04688,0.01788,2.42154,10.5634,2.54366,0.009901,0.009901,0.009901
5,176.156,2.31895,2.50206,2.30705,0.35314,0.33318,0.28675,0.11486,2.16103,2.4066,2.24437,0.009868,0.009868,0.009868
6,211.83,2.178,2.31333,2.17053,0.58022,0.27918,0.30753,0.13279,2.04991,2.31734,2.13114,0.009835,0.009835,0.009835
7,247.027,2.09357,2.20015,2.08492,0.45027,0.39596,0.38296,0.17014,1.97965,2.18553,2.05639,0.009802,0.009802,0.009802
8,281.73,2.01603,2.08176,2.01622,0.51271,0.44545,0.45124,0.20845,1.86391,1.86914,1.92896,0.009769,0.009769,0.009769
9,316.443,1.95873,2.01228,1.94214,0.72482,0.34951,0.40294,0.1858,1.93219,2.24698,1.97378,0.009736,0.009736,0.009736
10,351.252,1.90997,1.94996,1.90134,0.55194,0.46996,0.45989,0.21385,1.83579,1.85161,1.90492,0.009703,0.009703,0.009703
11,385.851,1.87796,1.85917,1.8638,0.54645,0.4714,0.47273,0.23299,1.82183,1.73161,1.89082,0.00967,0.00967,0.00967
12,420.616,1.84028,1.8138,1.82862,0.59311,0.49797,0.53671,0.27476,1.69968,1.66426,1.7858,0.009637,0.009637,0.009637
13,455.205,1.8119,1.78465,1.818,0.62392,0.54148,0.57137,0.28444,1.72203,1.62503,1.79651,0.009604,0.009604,0.009604
14,491.824,1.76987,1.72698,1.77939,0.65904,0.46192,0.52867,0.26827,1.74838,1.7753,1.8275,0.009571,0.009571,0.009571
15,528.418,1.75254,1.67834,1.75735,0.69191,0.56706,0.64923,0.33079,1.66455,1.44921,1.74819,0.009538,0.009538,0.009538
16,565.028,1.71884,1.61519,1.7228,0.59416,0.49244,0.52521,0.27285,1.74535,1.69092,1.80456,0.009505,0.009505,0.009505
17,601.661,1.72864,1.61366,1.72501,0.68212,0.57586,0.63155,0.33282,1.63731,1.45951,1.71207,0.009472,0.009472,0.009472
18,638.169,1.69445,1.55402,1.70715,0.74996,0.59653,0.67787,0.35436,1.60391,1.3671,1.6872,0.009439,0.009439,0.009439
19,674.759,1.67712,1.52921,1.67921,0.73942,0.60092,0.67318,0.36111,1.59302,1.33743,1.67119,0.009406,0.009406,0.009406
20,711.544,1.66663,1.51293,1.67401,0.74233,0.64601,0.70084,0.37917,1.55552,1.29483,1.64595,0.009373,0.009373,0.009373
21,747.361,1.65479,1.49856,1.66419,0.70373,0.64367,0.68531,0.37474,1.56144,1.33913,1.65015,0.00934,0.00934,0.00934
22,782.123,1.6361,1.46606,1.63621,0.75071,0.63798,0.70601,0.38741,1.53631,1.29581,1.61427,0.009307,0.009307,0.009307
23,816.814,1.6192,1.42015,1.62854,0.73081,0.65481,0.71827,0.38044,1.57305,1.24241,1.624,0.009274,0.009274,0.009274
24,851.477,1.59352,1.39711,1.61301,0.74387,0.63204,0.70314,0.37955,1.54828,1.30147,1.61563,0.009241,0.009241,0.009241
25,886.196,1.57991,1.37291,1.59827,0.7571,0.67686,0.7424,0.39976,1.51458,1.23259,1.61062,0.009208,0.009208,0.009208
26,920.711,1.5795,1.36427,1.59811,0.77063,0.68995,0.75276,0.41319,1.50689,1.17645,1.58886,0.009175,0.009175,0.009175
27,955.432,1.57397,1.35134,1.57891,0.77947,0.66292,0.73424,0.40697,1.51917,1.18151,1.59524,0.009142,0.009142,0.009142
28,991.108,1.5729,1.34695,1.57838,0.79048,0.67135,0.75468,0.41876,1.48093,1.16297,1.57061,0.009109,0.009109,0.009109
29,1027.79,1.56085,1.33193,1.57376,0.74554,0.66129,0.73675,0.40506,1.48489,1.26766,1.57252,0.009076,0.009076,0.009076
30,1064.42,1.55234,1.30692,1.57007,0.76847,0.69093,0.74491,0.41952,1.47187,1.20365,1.55165,0.009043,0.009043,0.009043
31,1101.03,1.52388,1.27826,1.54931,0.71602,0.55252,0.61372,0.32706,1.66219,1.5209,1.66786,0.00901,0.00901,0.00901
32,1137.61,1.5219,1.27332,1.54485,0.77398,0.72785,0.79271,0.44971,1.43955,1.08661,1.52122,0.008977,0.008977,0.008977
33,1174.17,1.52016,1.26686,1.53452,0.79523,0.73486,0.78663,0.45221,1.43457,1.08408,1.51666,0.008944,0.008944,0.008944
34,1210.82,1.51888,1.26225,1.5316,0.78724,0.73226,0.80349,0.45716,1.43165,1.07244,1.50763,0.008911,0.008911,0.008911
35,1247.61,1.49026,1.23181,1.52398,0.81439,0.71986,0.79356,0.44986,1.4609,1.07705,1.53396,0.008878,0.008878,0.008878
36,1284.19,1.48008,1.21545,1.50375,0.80701,0.73081,0.80029,0.46049,1.41067,1.04165,1.48662,0.008845,0.008845,0.008845
37,1321.03,1.46709,1.19385,1.49659,0.79869,0.73409,0.80107,0.45648,1.4344,1.03738,1.50214,0.008812,0.008812,0.008812
38,1357.66,1.46816,1.175,1.4955,0.81853,0.71548,0.79505,0.45608,1.42753,1.0445,1.5119,0.008779,0.008779,0.008779
39,1394.27,1.458,1.16374,1.481,0.83484,0.74484,0.82211,0.47528,1.39809,1.00248,1.48196,0.008746,0.008746,0.008746
40,1430.86,1.46516,1.17369,1.48898,0.83147,0.73421,0.81432,0.47057,1.43857,1.0255,1.50371,0.008713,0.008713,0.008713
41,1467.42,1.44971,1.15462,1.4739,0.81091,0.76069,0.81954,0.47106,1.42467,1.00167,1.49778,0.00868,0.00868,0.00868
42,1503.99,1.45658,1.15493,1.48019,0.84175,0.74891,0.82802,0.48817,1.38641,0.98265,1.48579,0.008647,0.008647,0.008647
43,1540.45,1.45117,1.1309,1.46999,0.79675,0.7208,0.78399,0.44802,1.43655,1.04306,1.51196,0.008614,0.008614,0.008614
44,1576.93,1.42409,1.10885,1.45963,0.82889,0.76451,0.82139,0.48735,1.38143,0.97622,1.4562,0.008581,0.008581,0.008581
45,1613.48,1.43088,1.09766,1.46105,0.84125,0.76974,0.83239,0.48939,1.3667,0.95612,1.46862,0.008548,0.008548,0.008548
46,1650.2,1.41347,1.08967,1.44984,0.84723,0.75488,0.82842,0.49319,1.37727,0.97012,1.44278,0.008515,0.008515,0.008515
47,1686.64,1.42049,1.10644,1.44514,0.85785,0.76974,0.84835,0.5,1.37052,0.93294,1.46967,0.008482,0.008482,0.008482
48,1723.19,1.40075,1.08764,1.44682,0.87025,0.76592,0.84815,0.50277,1.34608,0.92933,1.44648,0.008449,0.008449,0.008449
49,1759.76,1.40811,1.07695,1.43684,0.86206,0.77714,0.85397,0.50253,1.35805,0.94351,1.44044,0.008416,0.008416,0.008416
50,1796.32,1.38393,1.05582,1.42319,0.84314,0.77585,0.85005,0.50537,1.35488,0.93608,1.43072,0.008383,0.008383,0.008383
51,1832.88,1.39901,1.07554,1.42905,0.85981,0.78589,0.8525,0.50038,1.36776,0.94179,1.46491,0.00835,0.00835,0.00835
52,1869.4,1.39401,1.05726,1.42824,0.85962,0.78929,0.85008,0.50393,1.3595,0.90797,1.44735,0.008317,0.008317,0.008317
53,1906.11,1.37998,1.04347,1.41733,0.87481,0.7799,0.85896,0.50694,1.35375,0.90388,1.43115,0.008284,0.008284,0.008284
54,1942.77,1.3729,1.03389,1.41078,0.84469,0.79968,0.86207,0.52128,1.33974,0.87955,1.42667,0.008251,0.008251,0.008251
55,1979.39,1.37233,1.0361,1.41182,0.83873,0.80472,0.86182,0.52027,1.34535,0.91012,1.42856,0.008218,0.008218,0.008218
56,2018.8,1.36544,1.01948,1.40819,0.86161,0.79817,0.87134,0.52114,1.3379,0.85522,1.41312,0.008185,0.008185,0.008185
57,2058.83,1.34842,1.0142,1.39679,0.85311,0.81277,0.87184,0.51883,1.35005,0.85934,1.42885,0.008152,0.008152,0.008152
58,2093.43,1.36444,1.02326,1.40671,0.86876,0.79684,0.86948,0.52196,1.32912,0.87374,1.41134,0.008119,0.008119,0.008119
59,2128.15,1.35826,1.01072,1.39715,0.86493,0.78274,0.86103,0.51904,1.34033,0.89856,1.41676,0.008086,0.008086,0.008086
60,2162.71,1.34832,1.00301,1.38727,0.874,0.82029,0.87537,0.53124,1.32416,0.847,1.40629,0.008053,0.008053,0.008053
