epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3709,3.67555,5.32791,4.26706,0.0008,0.16898,0.00064,0.00022,3.62175,4.04246,4.15796,0.0702459,0.00330601,0.00330601
2,126.144,3.75322,5.13567,4.19773,0.00296,0.02759,0.00092,0.00029,3.45354,5.53208,6.43626,0.040224,0.00661743,0.00661743
3,295.598,3.37704,4.06739,3.66011,0.55498,0.05919,0.01972,0.00529,3.30059,4.24782,3.7575,0.0101801,0.00990686,0.00990686
4,480.806,2.84305,3.29048,2.94118,0.60657,0.12305,0.06995,0.02438,2.98862,3.5567,3.24724,0.009901,0.009901,0.009901
5,544.795,2.57457,2.83685,2.60621,0.18194,0.23986,0.1722,0.06482,2.4573,2.92539,2.49402,0.009868,0.009868,0.009868
6,607.04,2.40027,2.58346,2.36917,0.31483,0.23958,0.23171,0.09621,2.24425,2.41597,2.30115,0.009835,0.009835,0.009835
7,666.577,2.27631,2.42155,2.23684,0.39424,0.33802,0.31141,0.13154,2.13559,2.20023,2.16648,0.009802,0.009802,0.009802
8,724.174,2.15711,2.27085,2.12803,0.33432,0.30001,0.22101,0.09807,2.0918,2.47312,2.08214,0.009769,0.009769,0.009769
9,782.155,2.08039,2.17052,2.03049,0.46184,0.42614,0.40635,0.18885,1.94735,2.08487,1.96306,0.009736,0.009736,0.009736
10,839.686,2.01177,2.09875,1.97018,0.54237,0.43744,0.45041,0.20617,1.90652,1.9612,1.92977,0.009703,0.009703,0.009703
11,896.585,1.96642,2.02017,1.9157,0.59465,0.34645,0.37199,0.17626,2.01705,2.12956,1.98972,0.00967,0.00967,0.00967
12,954.128,1.91194,1.93915,1.86116,0.53867,0.42424,0.44114,0.20984,1.84025,2.10523,1.86121,0.009637,0.009637,0.009637
13,1011.46,1.89966,1.90328,1.84561,0.56226,0.49581,0.52148,0.24968,1.81561,1.99152,1.78264,0.009604,0.009604,0.009604
14,1068.98,1.84638,1.8488,1.79667,0.64451,0.50641,0.55649,0.28248,1.73544,1.58863,1.7316,0.009571,0.009571,0.009571
15,1126.06,1.8228,1.7861,1.75213,0.62423,0.5241,0.54306,0.28323,1.70417,1.68742,1.68719,0.009538,0.009538,0.009538
16,1259.06,1.7889,1.73553,1.73806,0.58434,0.49351,0.52708,0.26335,1.77288,1.66096,1.76485,0.009505,0.009505,0.009505
17,1316.84,1.78659,1.727,1.73811,0.57218,0.53813,0.5548,0.29551,1.69134,1.60716,1.69681,0.009472,0.009472,0.009472
18,1373.58,1.7478,1.65607,1.70739,0.52973,0.53245,0.51725,0.27235,1.65617,1.68576,1.68308,0.009439,0.009439,0.009439
19,1430.58,1.7284,1.63434,1.67913,0.66308,0.57079,0.61811,0.33058,1.62057,1.49781,1.64381,0.009406,0.009406,0.009406
20,1487.59,1.71178,1.61693,1.66634,0.67321,0.56548,0.62262,0.33616,1.64067,1.42682,1.64936,0.009373,0.009373,0.009373
21,1544.4,1.71015,1.5834,1.65981,0.64982,0.57283,0.61853,0.32863,1.65215,1.44845,1.64198,0.00934,0.00934,0.00934
22,1601.34,1.69104,1.55969,1.63251,0.66357,0.58751,0.62823,0.32274,1.63139,1.48348,1.60052,0.009307,0.009307,0.009307
23,1664.39,1.66829,1.49465,1.61674,0.61025,0.58643,0.63024,0.34279,1.58832,1.40705,1.57891,0.009274,0.009274,0.009274
24,1728.45,1.64148,1.47271,1.60091,0.70434,0.62799,0.68241,0.36914,1.56186,1.3686,1.5659,0.009241,0.009241,0.009241
25,1787.45,1.63187,1.45505,1.58978,0.67917,0.63099,0.67032,0.363,1.61811,1.38261,1.57871,0.009208,0.009208,0.009208
26,1844.75,1.62513,1.43918,1.57903,0.70659,0.6427,0.71078,0.38051,1.56759,1.29555,1.58133,0.009175,0.009175,0.009175
27,1901.84,1.61022,1.40797,1.55852,0.70999,0.63185,0.68954,0.37711,1.55329,1.26898,1.54619,0.009142,0.009142,0.009142
28,1959.28,1.6135,1.40389,1.56167,0.74773,0.6506,0.71178,0.39505,1.49516,1.23153,1.51666,0.009109,0.009109,0.009109
29,2016.65,1.60335,1.39383,1.55655,0.73967,0.63183,0.69894,0.37703,1.52896,1.24501,1.5217,0.009076,0.009076,0.009076
30,2073.79,1.58393,1.37475,1.5456,0.73455,0.65219,0.70304,0.39188,1.52264,1.22564,1.50904,0.009043,0.009043,0.009043
31,2131.26,1.57176,1.34665,1.53008,0.72621,0.63458,0.70071,0.39255,1.49997,1.24083,1.50865,0.00901,0.00901,0.00901
32,2188.71,1.5573,1.31833,1.51762,0.78425,0.65935,0.72694,0.41124,1.50265,1.18597,1.4888,0.008977,0.008977,0.008977
33,2246.22,1.55581,1.3189,1.50705,0.76414,0.70534,0.75949,0.43827,1.44958,1.10933,1.44125,0.008944,0.008944,0.008944
34,2310.4,1.55893,1.31675,1.51057,0.77176,0.67566,0.7479,0.41823,1.45979,1.18478,1.47219,0.008911,0.008911,0.008911
35,2374.89,1.52653,1.28226,1.49517,0.79694,0.68795,0.76801,0.44,1.46201,1.10469,1.45055,0.008878,0.008878,0.008878
36,2439.45,1.50701,1.2587,1.47065,0.80189,0.69628,0.77574,0.44426,1.45061,1.10536,1.45392,0.008845,0.008845,0.008845
